End1,End2,Id,Voltage,Line Length,TCSC Location,Compensation,Owner,region,state
Raipur,Raigarh,1,400,217,Raipur,40,WRTS-1,WR,
Raipur,Raigarh,2,400,217,Raipur,40,WRTS-1,WR,
